Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000138182,ENSG00000138182.15,ENST00000371728,ENST00000371728.8,KIF20B
ENSG00000160293,ENSG00000160293.17,ENST00000371850,ENST00000371850.8,VAV2
ENSG00000124214,ENSG00000124214.21,ENST00000371856,ENST00000371856.7,STAU1
ENSG00000148602,ENSG00000148602.6,ENST00000372105,ENST00000372105.4,LRIT1
ENSG00000096080,ENSG00000096080.12,ENST00000372133,ENST00000372133.8,MRPS18A
ENSG00000107263,ENSG00000107263.19,ENST00000372190,ENST00000372190.8,RAPGEF1
ENSG00000173846,ENSG00000173846.13,ENST00000372201,ENST00000372201.5,PLK3
ENSG00000142945,ENSG00000142945.13,ENST00000372224,ENST00000372224.9,KIF2C
ENSG00000107130,ENSG00000107130.10,ENST00000372398,ENST00000372398.6,NCS1
ENSG00000165637,ENSG00000165637.14,ENST00000313132,ENST00000313132.8,VDAC2
ENSG00000084070,ENSG00000084070.12,ENST00000372718,ENST00000372718.8,SMAP2
ENSG00000025772,ENSG00000025772.8,ENST00000372813,ENST00000372813.4,TOMM34
ENSG00000126947,ENSG00000126947.13,ENST00000372829,ENST00000372829.8,ARMCX1
ENSG00000182180,ENSG00000182180.14,ENST00000372945,ENST00000372945.8,MRPS16
ENSG00000196090,ENSG00000196090.14,ENST00000373198,ENST00000373198.8,PTPRT
ENSG00000121905,ENSG00000121905.10,ENST00000373467,ENST00000373467.4,HPCA
ENSG00000136935,ENSG00000136935.14,ENST00000373555,ENST00000373555.9,GOLGA1
ENSG00000119522,ENSG00000119522.18,ENST00000373624,ENST00000373624.6,DENND1A
ENSG00000137409,ENSG00000137409.21,ENST00000373627,ENST00000373627.10,MTCH1
ENSG00000148225,ENSG00000148225.17,ENST00000374193,ENST00000374193.9,WDR31
ENSG00000090889,ENSG00000090889.12,ENST00000374403,ENST00000374403.4,KIF4A
ENSG00000011009,ENSG00000011009.11,ENST00000374514,ENST00000374514.8,LYPLA2
ENSG00000070061,ENSG00000070061.16,ENST00000374647,ENST00000374647.10,ELP1
ENSG00000204315,ENSG00000204315.4,ENST00000375156,ENST00000375156.4,FKBPL
ENSG00000091436,ENSG00000091436.17,ENST00000375213,ENST00000375213.8,MAP3K20
ENSG00000160584,ENSG00000160584.17,ENST00000375300,ENST00000375300.6,SIK3
ENSG00000117148,ENSG00000117148.8,ENST00000375406,ENST00000375406.2,ACTL8
ENSG00000139835,ENSG00000139835.14,ENST00000375430,ENST00000375430.8,GRTP1
ENSG00000165025,ENSG00000165025.15,ENST00000375746,ENST00000375746.1,SYK
ENSG00000101336,ENSG00000101336.18,ENST00000375852,ENST00000375852.5,HCK
ENSG00000101306,ENSG00000101306.11,ENST00000375994,ENST00000375994.6,MYLK2
ENSG00000135069,ENSG00000135069.14,ENST00000376588,ENST00000376588.4,PSAT1
ENSG00000015285,ENSG00000015285.12,ENST00000376701,ENST00000376701.5,WAS
ENSG00000165300,ENSG00000165300.8,ENST00000325089,ENST00000325089.7,SLITRK5
ENSG00000079689,ENSG00000079689.15,ENST00000377961,ENST00000377961.3,SCGN
ENSG00000138071,ENSG00000138071.15,ENST00000377982,ENST00000377982.8,ACTR2
ENSG00000169717,ENSG00000169717.7,ENST00000378404,ENST00000378404.4,ACTRT2
ENSG00000105193,ENSG00000105193.9,ENST00000339471,ENST00000339471.8,RPS16
ENSG00000119787,ENSG00000119787.14,ENST00000378954,ENST00000378954.9,ATL2
ENSG00000205279,ENSG00000205279.9,ENST00000379445,ENST00000379445.8,CTXN3
ENSG00000101222,ENSG00000101222.12,ENST00000379756,ENST00000379756.3,SPEF1
ENSG00000086061,ENSG00000086061.16,ENST00000330899,ENST00000330899.5,DNAJA1
ENSG00000164292,ENSG00000164292.13,ENST00000379982,ENST00000379982.8,RHOBTB3
ENSG00000058091,ENSG00000058091.17,ENST00000380050,ENST00000380050.8,CDK14
ENSG00000120159,ENSG00000120159.13,ENST00000333916,ENST00000333916.8,CAAP1
ENSG00000178462,ENSG00000178462.12,ENST00000380419,ENST00000380419.8,TUBAL3
ENSG00000215305,ENSG00000215305.10,ENST00000380445,ENST00000380445.8,VPS16
ENSG00000145741,ENSG00000145741.17,ENST00000380591,ENST00000380591.8,BTF3
ENSG00000049883,ENSG00000049883.15,ENST00000380639,ENST00000380639.10,PTCD2
ENSG00000090989,ENSG00000090989.18,ENST00000381295,ENST00000381295.7,EXOC1
ENSG00000205726,ENSG00000205726.15,ENST00000381318,ENST00000381318.8,ITSN1
ENSG00000140382,ENSG00000140382.15,ENST00000381714,ENST00000381714.7,HMG20A
ENSG00000100083,ENSG00000100083.19,ENST00000381756,ENST00000381756.9,GGA1
ENSG00000147853,ENSG00000147853.17,ENST00000381809,ENST00000381809.8,AK3
ENSG00000134308,ENSG00000134308.14,ENST00000381844,ENST00000381844.8,YWHAQ
ENSG00000109610,ENSG00000109610.6,ENST00000382120,ENST00000382120.4,SOD3
ENSG00000183765,ENSG00000183765.24,ENST00000382580,ENST00000382580.6,CHEK2
ENSG00000163618,ENSG00000163618.18,ENST00000383710,ENST00000383710.9,CADPS
ENSG00000112651,ENSG00000112651.12,ENST00000388752,ENST00000388752.8,MRPL2
ENSG00000211455,ENSG00000211455.8,ENST00000389032,ENST00000389032.8,STK38L
ENSG00000103978,ENSG00000103978.17,ENST00000389834,ENST00000389834.9,TMEM87A
ENSG00000212710,ENSG00000212710.5,ENST00000391403,ENST00000391403.4,CTAGE1
ENSG00000079156,ENSG00000079156.17,ENST00000392505,ENST00000392505.6,OSBPL6
ENSG00000177885,ENSG00000177885.15,ENST00000392562,ENST00000392562.5,GRB2
ENSG00000112290,ENSG00000112290.13,ENST00000392588,ENST00000392588.5,WASF1
ENSG00000151532,ENSG00000151532.15,ENST00000393077,ENST00000393077.3,VTI1A
ENSG00000166747,ENSG00000166747.13,ENST00000393512,ENST00000393512.7,AP1G1
ENSG00000169379,ENSG00000169379.17,ENST00000394222,ENST00000394222.8,ARL13B
ENSG00000186867,ENSG00000186867.11,ENST00000394427,ENST00000394427.3,QRFPR
ENSG00000167994,ENSG00000167994.13,ENST00000394836,ENST00000394836.7,RAB3IL1
ENSG00000138814,ENSG00000138814.17,ENST00000394854,ENST00000394854.8,PPP3CA
ENSG00000108262,ENSG00000108262.16,ENST00000394869,ENST00000394869.7,GIT1
ENSG00000169375,ENSG00000169375.17,ENST00000394947,ENST00000394947.8,SIN3A
ENSG00000100592,ENSG00000100592.16,ENST00000395125,ENST00000395125.1,DAAM1
ENSG00000099840,ENSG00000099840.14,ENST00000395301,ENST00000395301.8,IZUMO4
ENSG00000138674,ENSG00000138674.17,ENST00000395310,ENST00000395310.7,SEC31A
ENSG00000213639,ENSG00000213639.11,ENST00000395366,ENST00000395366.3,PPP1CB
ENSG00000164924,ENSG00000164924.18,ENST00000395957,ENST00000395957.6,YWHAZ
ENSG00000111640,ENSG00000111640.15,ENST00000396861,ENST00000396861.5,GAPDH
ENSG00000077380,ENSG00000077380.16,ENST00000397119,ENST00000397119.8,DYNC1I2
ENSG00000100365,ENSG00000100365.16,ENST00000397147,ENST00000397147.7,NCF4
ENSG00000152611,ENSG00000152611.12,ENST00000397367,ENST00000397367.6,CAPSL
