"__mclCluster","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000263102","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000263102",,,,,,,,"0.55","0.551"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000326759","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000326759",,,,"0.057",,,,"0.63","0.625"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000347942",,,,,,,,"0.418","0.419"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000246657","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000246657","0.162",,,,,,,"0.431","0.35"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000371483","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000371483",,,,,,,,"0.684","0.684"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000324890","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000324890","0.08",,,,,,,"0.531","0.512"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000269305","0.062",,,,,,,"0.626","0.618"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000275493",,,,,,,,"0.456","0.456"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000479606","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000479606",,,"0.6",,,,,"0.671","0.212"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264657","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264657",,,,,,,,"0.409","0.409"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000386884","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000386884","0.098",,,"0.27",,,,"0.991","0.988"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000411355","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000411355","0.356",,,"0.058",,,,"0.651","0.471"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000335153","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000335153",,,,"0.105",,,,"0.478","0.441"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000307134","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000307134","0.062",,,"0.163",,,,"0.981","0.978"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000479618","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000479618",,,,"0.057",,,,"0.689","0.684"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000277541","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000277541",,,,"0.073",,,,"0.669","0.657"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000373700","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000373700","0.048",,,"0.062",,,,"0.605","0.594"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000262160","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000262160",,,,"0.057",,,,"0.423","0.414"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264674","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000264674",,,,"0.056",,,,"0.461","0.453"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000263334","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000263334",,,,"0.056",,,,"0.465","0.457"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000354487","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000354487","0.049",,,,,,,"0.639","0.637"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000400175","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000400175",,,,"0.059",,,,"0.777","0.773"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000437955","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000437955",,,,,,,,"0.424","0.424"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000375960","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000375960",,,,"0.126",,,,"0.924","0.917"
"1","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000384638","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000384638","0.062",,,"0.159",,,,"0.914","0.9"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000371897","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000371897","0.049",,,,,,,"0.492","0.488"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000451828",,,,"0.057",,,,"0.854","0.851"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000269571","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000269571",,,,"0.059",,,,"0.912","0.911"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000362680",,,,"0.057",,,,"0.853","0.851"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000418915","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000418915",,,,"0.065",,,,"0.44","0.425"
,"pp","9606.ENSP00000027335 (pp) 9606.ENSP00000307078","false","pp","9606.ENSP00000027335 (pp) 9606.ENSP00000307078",,,,"0.058",,,,"0.463","0.453"
