"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"MYH10",6022,5981.8,5810,8159.3,6447,7418.3,5779.5,6318.6,6797.9,8083.5,6527.5,8299.7,6188.6,6911.1,6264.6
"HSPG2",10418.5,11185.1,11547.1,12573.2,11341.3,11454.9,11428.2,11474,10919.9,12747.7,15808.5,22764.4,14831.1,18275.8,16003.2
"LMNA",816.2,892,915.5,1131.3,879.5,819.2,668.3,805.9,596.4,827.5,621.8,765.6,725.8,733.8,733.3
"TUBB4B",4819.3,4963.1,5126.1,6759.8,5144.6,5459.1,4107.4,4435.7,4587.3,5026.1,5184.2,7188.3,5480.6,6345.5,5812.6
"H2BC18",59667.8,58880.9,55895.5,55009.7,61153.6,66618.8,61426.9,71043.3,68081.8,77280.8,48671.3,51977.2,54147.8,54536.6,47327.2
"TUBA4A",3780.5,4432.6,4384.1,3824,3681.9,4847.1,5569.9,4486,4940.3,4753.8,5070.4,4209.6,4891.9,4482.3,4881.2
"TUBB",18727.6,19347.8,18910.8,21577.1,18490.2,19519.4,17464.1,18832.9,18575.9,21217.3,22240.3,26824.1,24214.5,24920.8,23561.3
"H2BC14",901.4,1150.8,991.7,1088.3,1132.3,1117.4,1323.4,1449.1,1331.7,959.5,1009.2,1357.5,1103.3,1240.5,718.8
"ATP5F1B",10247,10535.2,10167,14309.2,11105.3,11449.7,10749,10366.3,10738,11617.6,10623,14400.9,11525.7,12432.4,11489
"H2BC3",2296.6,1583.4,1486.5,1201.5,2124.2,2081.5,2154.7,1766.9,2689.3,3644.6,1216.5,1173.4,1611.6,1276,1434.7
"H2BC12L",5080,5931,6288.1,6629.7,5430.3,8583.8,8908.2,12679.3,7983.4,6523.6,6099,7843.5,6801.9,7704.2,5538.2
"TKT",24063.2,20659.9,19145.6,27079.8,25678.2,21722.2,18131.3,18914.8,21540.4,27280.2,19172.5,27442.4,23816.9,24344.2,22540.4
"NPM1",29612.7,24110.7,22375.5,27270.3,29979.3,26873.9,22094.3,25564.5,28567.8,34926.2,21364.7,25491,27082.1,25737.3,23028.1
"HNRNPU",18998.5,16946.1,16062.9,19767.5,19917.5,18219.9,15547.3,18606.8,18311.6,23117.5,16429.4,20601.3,18626.1,19628.1,17574.9
"TUBA1C",18817.2,18454.1,17221.6,20973.8,19731.1,18648.1,16575,17920.5,18089.1,22397.2,21222.5,26425.7,21903.2,23325.9,24090.4
"HNRNPU",41.4,21.5,24.5,72,11.8,22.1,10.7,29.3,4.4,22.1,51,73.3,67.2,72.3,28.1
"FBLN1",1892.4,2282.8,2222.1,2510.3,2137.8,1857,1516.8,1417.3,1541.6,1451.6,1804.4,1597.3,1783,1740.2,1716.3
"KRT19",18542.5,15544.1,14902.8,29714.9,21401.3,12210.2,8401.9,9144,9209,11606,8387.4,12815,9341.8,10372.7,9202.6
"EEF1A1P5",29976,27847.7,27781,36639.8,32433.9,27179,22775,27889.9,23921.3,29740.5,33152.3,36121.2,37820.2,36888.6,33257
"COL1A2",23003.6,21193.6,21925.1,45280.1,26709.2,14334.7,10860.8,10306.7,10068.9,10032.8,8842.6,7705.3,9035.6,7821.8,8336.9
"ATP1A1",10271.2,10381.9,11157.4,17604.1,11323.3,10251.7,8289.3,8792.9,8053.4,8487.8,10534.9,12923.9,10330.9,11222.3,10507.5
"CKAP4",9086.7,8998.1,9052.8,14046.8,9607.2,9297.3,7212.3,7296.5,7376.4,9431.8,10688.9,18391.2,11565.9,14300.2,11532.2
"FBLN1",7609.3,11222.3,11709.7,23421.8,11948.1,8825.4,5246.5,4770.8,4999.8,4807.9,6741.5,8585,7640.4,9683.2,6559.1
"PFN1",15483.5,15319.2,14881.5,21060.8,16954.2,16151.7,12581.6,13340,14002.8,17325.8,15036.8,21752.3,17941.8,19491.2,17132.7
"TLN1",11996.8,12695.3,13005.3,13758.6,12754.3,14344.6,14821.3,14822.5,14730.6,14114.3,12607.5,14629.9,13625.8,14065,12672.8
"PRKDC",10111.4,9711.5,10031.6,10721.6,9882.3,9964.8,9013.5,9175.3,9400.9,9394.8,9241.3,10230.5,9536.5,9756.6,9200.4
"TUBB2B",721.5,818.8,729.1,491,653.4,757.7,930.5,770.5,859.1,814.2,1353.3,1832.5,1204.4,1583.2,1213.4
"UBA1",12133.3,12361.2,17799.7,13533.5,14077.2,13927.4,14377.3,14706,13806.7,14181.7,12759.7,14489.2,13734.6,14138.8,12943.7
"KRT6A",30074.2,40088.9,42116,42551,33584.2,14111.9,11132.7,11241.5,9392.9,10158.8,8293.9,7081.2,8105.5,7637.9,8178.7
