"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"RPL13",12880.9,12523.7,11771.7,17669.8,13066.7,12782.8,10342.9,12120.8,11371.2,13759.1,13714.3,15804.5,14801.9,16515.8,14150.3
"TCP1",8861.4,8713.5,8387.6,8083.8,8965,8088.9,8057.7,8436.1,8408.4,8883.3,8623.6,8642,8609.6,8677.9,8959.7
"H3-3A; H3-3B",56725.3,62107.3,59822.8,60746.8,56000.9,84214.5,103376.8,114383.5,73428.6,105701.6,54506.6,59828.3,50398.1,64360.9,46308.1
"ATP1A3",166,195.3,185.8,209.2,179.5,220.5,136.7,156.1,162.3,195.5,190.1,219.4,210.2,245.6,184.8
"RPS3A",7857.4,7391.1,6913.9,11904.1,8563.1,7704.3,5970.9,6377.7,6262,9116.4,8120.1,12912.3,8981.2,10954.4,8997.7
"H2BC1",226.9,299.7,269,150.1,188.2,262.8,282.5,266.9,256,260.7,270.5,143.4,244.1,193.6,238
"RPL14",15852.9,14860.8,14179.5,18348.6,15511.4,15987,15256.7,15445.2,15757.8,17446.8,14616,18198.7,17139.7,16508.5,14048.2
"XRCC6",8995.2,9560.4,8902.5,11704.6,9882.3,10493.6,8232.8,9407.9,9832.1,11108.8,9370.9,11110,10353.8,11172.7,9864.9
"ACTBL2",227.7,237.8,206.5,350.7,239.1,258.7,163,155.5,153.9,256.9,237.5,310.4,230.4,325,264.9
"TACSTD2",6571.7,7193.7,7734.6,7120.3,7188.6,4391.1,4575.6,3958.8,4036.1,3776.6,4873,4239.1,4796.4,4539,4292.2
"MAP4",7971.2,8418.2,8559.9,9119.5,8296.7,8024.5,7619.3,7975.7,7844.6,7520.1,9472,10304.7,10468.5,10773.3,9598.5
"RPL18A",10092.3,10703.6,9781.9,11458.6,10901.6,9502.7,8618.6,9864.2,9062.5,11365.7,11279.1,12152.4,11968.5,12132.9,11979
"EIF4A1",5483.4,5256.9,5168,6962.6,5860.1,5361.1,4301.2,4723.7,4455.1,5923.1,5921.5,7936.3,6339.9,7205.7,6624.8
"AFDN",6044.1,6878.9,7069.4,7825.4,6533.4,6003.3,5496,5898.7,5179.5,5062,6255.7,6777.9,7024.1,7236.1,6281.3
"DLD",4865.3,5356.4,5133.2,6592.3,6373.1,4357.4,3063.9,4475.8,3835.3,4950.4,3822.3,4242.1,4434.8,4454.7,4565.8
"CLTA",7044.6,8185.2,8426.3,7980.2,7816.6,7064.4,6596.3,8299.6,6106.4,5760.2,7136.6,6794.8,7684.1,7290.1,6821.4
"RPN1",8348.5,7345.9,6828.8,9215.6,8760.6,7731,7246.6,6718,7193.8,9319.7,6445.8,8897.9,7327.1,7695.2,7487.1
"RPS14",4480.4,5409.1,5455.2,8694.6,5419.1,5948.2,4904.1,5480.3,4593.2,5341.5,6433.1,9009.5,6738.4,7981.2,5842.2
"PCBP1",6377.9,5630.2,6011.3,6741.3,6573.1,5097.1,4810.3,4783.8,4773.1,5125.5,5653.3,7951.2,6045.5,6536.5,5943.2
"JPT2",4542,5127.2,5405.5,4768.5,5071.9,4672.5,4133.4,4689.3,4392.4,3578.3,5584.7,4440.7,6179,5124,4986.4
"RUVBL2",2945.1,2927.3,2942.8,3050.9,2865.1,2794,2783.5,2743.3,2700.2,2970.1,3252.5,3353.2,3109.8,3085.7,3334.2
"ASRGL1",4661,5177.8,5154.5,6445.1,5548.9,4319.2,3724.1,4154.9,3895.5,4697.4,4636.9,5174.6,4876.8,4808.9,5095.7
"HNRNPL",6067.5,5983.2,5782.3,7116.9,5791.1,7128.2,5804.8,7201.6,7269.1,6626.9,5460.1,6373.3,5960.5,5713.1,5035.3
"LGALS3BP",3126,2930,2943.7,2870.1,3005.5,2758.8,2390.6,2737.6,3064.1,3475.6,3840.8,5506.2,4579.3,5497.3,4350.3
"SYNCRIP",3872.6,3976.4,3796.3,6185.6,4278.1,4118.4,3109.5,3581.5,3576.8,4308.5,4002.5,5724.3,4125.4,4967,4138.1
"RPS21",12284.7,14017.7,14718.3,14164.5,14213.9,11680,9413.9,12868.8,9773.5,9886.2,12146.9,11986.6,14124.5,12863.2,12170.3
"KRT17",4721,5602.8,6550.1,10661.1,5216.6,3977.4,2991,3179.4,2727.8,3045.3,1962,1775.9,1901.8,1833,1751.6
"CFL1",11118.9,10041.3,9557.3,16149.4,12158.7,10001.1,7841,9681,9179.6,10232.2,9650.4,16284.3,11916,13457,11148.5
"RPL5",14619.4,12870.2,11893.6,13689.2,12772.9,14380.5,12802.4,13140.3,14499.7,15645.5,12351.9,14535.8,13359.4,13391.8,12763.5
