Gene Symbol,FCP1-D1,FCP2-D1,FCP3-D1,Time,df1,df2,df3,patient
UBA1,1.467012272,0.968707615,0.968473455,10,0.498304657,0.00023416,0.498538817,1
KRT6A,1.400403003,1.267608038,0.797879671,10,0.132794965,0.469728367,0.602523332,1
NCL,0.851924167,1.101259106,0.699064296,10,-0.249334939,0.40219481,0.152859871,1
PGAM1,1.075759961,1.157025083,1.316299348,10,-0.081265122,-0.159274265,-0.240539387,1
KRT7,1.003737487,1.343746884,0.682712475,10,-0.340009397,0.661034409,0.321025012,1
HNRNPC,1.089060321,0.956860276,1.047946965,10,0.132200045,-0.091086689,0.041113356,1
ATP5F1A,0.932490081,1.188820515,1.076158352,10,-0.256330434,0.112662163,-0.143668271,1
HSPA1B,1.037377917,1.229346317,1.120238984,10,-0.1919684,0.109107333,-0.082861067,1
H1-4,0.76668556,1.043337016,0.618342392,10,-0.276651456,0.424994624,0.148343168,1
MYH14,0.918060201,1.015238861,0.91470357,10,-0.09717866,0.100535291,0.003356631,1
SND1,0.961536857,1.220231413,1.206448219,10,-0.258694556,0.013783194,-0.244911362,1
DYNC1H1,0.931645191,1.194761066,1.003040337,10,-0.263115875,0.191720729,-0.071395146,1
NUMA1,1.223756019,1.143674552,1.302462705,10,0.080081467,-0.158788153,-0.078706686,1
HSPA1A,0.814159292,0.701298701,1.193236715,10,0.112860591,-0.491938014,-0.379077423,1
H1-3,0.932247509,1.02064167,1.019361895,10,-0.088394161,0.001279775,-0.087114386,1
H1-2,0.835211897,0.787057778,0.575649068,10,0.048154119,0.21140871,0.259562829,1
HNRNPA1,0.977527706,1.49893066,0.728453723,10,-0.521402954,0.770476937,0.249073983,1
PPIA,1.178200881,1.482909841,1.546582509,10,-0.30470896,-0.063672668,-0.368381628,1
PDIA4,0.783122191,1.234890067,0.868361488,10,-0.451767876,0.366528579,-0.085239297,1
PPL,1.144848434,1.16074956,1.091952928,10,-0.015901126,0.068796632,0.052895506,1
H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,0.715068828,1.004457286,0.530272853,10,-0.289388458,0.474184433,0.184795975,1
DSG2,1.212015072,1.160379225,1.142758944,10,0.051635847,0.017620281,0.069256128,1
RPL3,0.900434944,1.083845409,0.912130709,10,-0.183410465,0.1717147,-0.011695765,1
RPS3,0.931517099,1.085193152,1.097835733,10,-0.153676053,-0.012642581,-0.166318634,1
CLTC,0.96746298,1.248272334,0.993739159,10,-0.280809354,0.254533175,-0.026276179,1
NPM1,1.113935145,1.092444141,1.213594524,10,0.021491004,-0.121150383,-0.099659379,1
ACTN4,0.856426401,1.125034416,1.145702568,10,-0.268608015,-0.020668152,-0.289276167,1
H2BC26,1.284661256,1.058911394,0.892001916,10,0.225749862,0.166909478,0.39265934,1
VCL,1.012394752,1.139299256,0.888319761,10,-0.126904504,0.250979495,0.124074991,1
YWHAZ,0.824273733,1.326463192,1.032696115,10,-0.502189459,0.293767077,-0.208422382,1
H1-5,0.887458695,1.055124725,1.466196944,10,-0.16766603,-0.411072219,-0.578738249,1
TUBB4A,1.040860215,1.067658999,1.660501982,10,-0.026798784,-0.592842983,-0.619641767,1
HSPB1,1.113371228,1.079979706,1.00892457,10,0.033391522,0.071055136,0.104446658,1
CCT3,1.053441548,1.147972735,1.114626809,10,-0.094531187,0.033345926,-0.061185261,1
SPTBN1,1.36854125,1.043305347,1.101094983,10,0.325235903,-0.057789636,0.267446267,1
IQGAP1,0.88261684,1.000630723,0.944605142,10,-0.118013883,0.056025581,-0.061988302,1
TUBB3,1.23073037,1.260105914,1.364887517,10,-0.029375544,-0.104781603,-0.134157147,1
HSPA2,1.048636044,0.984294048,0.932700646,10,0.064341996,0.051593402,0.115935398,1
RPS3,1.220402085,0.847437978,0.723064205,10,0.372964107,0.124373773,0.49733788,1
KRT6B,1.605177564,1.662676357,1.592824287,10,-0.057498793,0.06985207,0.012353277,1
TALDO1,0.918294351,1.367318408,1.079496359,10,-0.449024057,0.287822049,-0.161202008,1
RPS6,1.079258423,1.165432331,1.23868405,10,-0.086173908,-0.073251719,-0.159425627,1
CTNNA1,0.997857598,1.45607448,1.143389276,10,-0.458216882,0.312685204,-0.145531678,1
CCT4,1.008214183,1.240315729,1.063297646,10,-0.232101546,0.177018083,-0.055083463,1
MDH2,0.89759106,1.366151763,0.740852832,10,-0.468560703,0.625298931,0.156738228,1
SFN,1.214168266,1.376126025,1.018256895,10,-0.161957759,0.35786913,0.195911371,1
MYH14,1.505922166,1.222619048,0.903722721,10,0.283303118,0.318896327,0.602199445,1
SPTAN1,1.098772491,1.352020592,1.100164349,10,-0.253248101,0.251856243,-0.001391858,1
JUP,1.080562756,1.173390748,1.023927164,10,-0.092827992,0.149463584,0.056635592,1
TRIM28,1.073234597,1.181492999,0.975560127,10,-0.108258402,0.205932872,0.09767447,1
TPM3,0.921398482,1.70198802,0.999978461,10,-0.780589538,0.702009559,-0.078579979,1
YWHAQ,1.089504584,1.168515754,1.149161583,10,-0.07901117,0.019354171,-0.059656999,1
HNRNPK,1.017509939,1.242592777,0.977475611,10,-0.225082838,0.265117166,0.040034328,1
SEPTIN2,1.000564016,0.887683125,0.916829746,10,0.112880891,-0.029146621,0.08373427,1
RPL8,1.089725804,1.079307711,1.142886388,10,0.010418093,-0.063578677,-0.053160584,1
RPS8,0.672036265,1.230358214,0.747745372,10,-0.558321949,0.482612842,-0.075709107,1
RPS27A,0.864934055,1.182754758,0.958063788,10,-0.317820703,0.22469097,-0.093129733,1
TPI1,0.995238892,1.252710948,0.973005953,10,-0.257472056,0.279704995,0.022232939,1
RPS17,0.964541378,1.242359182,1.065592458,10,-0.277817804,0.176766724,-0.10105108,1
SEPTIN2,0.980751961,1.245293804,1.177268245,10,-0.264541843,0.068025559,-0.196516284,1
LMNB1,1.223361184,1.376302719,0.946730778,10,-0.152941535,0.429571941,0.276630406,1
RPL7A,0.96166296,1.027624195,0.93408205,10,-0.065961235,0.093542145,0.02758091,1
MVP,0.925773196,0.991981078,1.237462802,10,-0.066207882,-0.245481724,-0.311689606,1
SFPQ,1.073872215,1.176301575,1.134574976,10,-0.10242936,0.041726599,-0.060702761,1
RPL10,1.040350804,1.316758031,1.177418633,10,-0.276407227,0.139339398,-0.137067829,1
SPTBN1,1.142372881,1.233598679,1.034298587,10,-0.091225798,0.199300092,0.108074294,1
TUBA8,0.866828087,1.204355109,1.136801541,10,-0.337527022,0.067553568,-0.269973454,1
CLIC1,0.705135106,1.228905669,0.633678254,10,-0.523770563,0.595227415,0.071456852,1
HSP90AB3P,1.363431997,0.828800458,1.148053424,10,0.534631539,-0.319252966,0.215378573,1
EPB41L2,1.002353694,1.108481154,1.569954878,10,-0.10612746,-0.461473724,-0.567601184,1
ANXA5,0.825466486,1.046432129,1.285694982,10,-0.220965643,-0.239262853,-0.460228496,1
RPL4,0.810391326,1.130747135,0.887547064,10,-0.320355809,0.243200071,-0.077155738,1
ATP1A1,0.950878594,0.989447024,1.355156183,10,-0.03856843,-0.365709159,-0.404277589,1
H1-1,1.16358402,1.025097507,1.103305453,10,0.138486513,-0.078207946,0.060278567,1
RPS2,0.848850475,1.10109887,0.968962322,10,-0.252248395,0.132136548,-0.120111847,1
CTNNB1,1.099130474,1.286926329,1.470341506,10,-0.187795855,-0.183415177,-0.371211032,1
DDX17,1.189131925,1.354121937,1.13550385,10,-0.164990012,0.218618087,0.053628075,1
DDX17,1.404507711,1.49188092,0.901392758,10,-0.087373209,0.590488162,0.503114953,1
PKP2,1.149109866,1.019768107,0.969625231,10,0.129341759,0.050142876,0.179484635,1
CCT7,0.876366901,1.063360429,1.039529391,10,-0.186993528,0.023831038,-0.16316249,1
KRT5,1.402665703,1.28101945,0.731959304,10,0.121646253,0.549060146,0.670706399,1
HSD17B4,0.844012889,1.112314693,1.139030515,10,-0.268301804,-0.026715822,-0.295017626,1
AIFM1,0.940231735,1.126171761,0.95952202,10,-0.185940026,0.166649741,-0.019290285,1
HSPA1L,1.424072591,1.686140308,1.511531767,10,-0.262067717,0.174608541,-0.087459176,1
ALYREF,1.118305255,1.106877729,0.869657049,10,0.011427526,0.23722068,0.248648206,1
COPA,1.077352754,1.258312776,1.265645984,10,-0.180960022,-0.007333208,-0.18829323,1
NONO,1.085538275,1.050583992,1.005912922,10,0.034954283,0.04467107,0.079625353,1
KHSRP,0.918298051,1.377966243,1.05212115,10,-0.459668192,0.325845093,-0.133823099,1
TNKS1BP1,1.040541588,1.278671306,1.398595829,10,-0.238129718,-0.119924523,-0.358054241,1
PDIA6,0.971886139,1.307731619,1.085375384,10,-0.33584548,0.222356235,-0.113489245,1
KRT16,1.284421329,1.614324673,0.90668348,10,-0.329903344,0.707641193,0.377737849,1
PHGDH,1.069336596,1.262416332,1.022354366,10,-0.193079736,0.240061966,0.04698223,1
RPL30,0.929195148,0.862622396,0.885568142,10,0.066572752,-0.022945746,0.043627006,1
